league,season,team,players_used,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
ESP-La Liga,2324,Alavés,1,21,21,1890,21,27,1.29,78,53,74.4,6,5,10,4,19.0,7,7,0,0,0.0,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,3,21,21,1890,21,46,2.19,107,60,61.7,0,6,15,3,14.3,7,5,1,1,16.7,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,1,21,21,1890,21,21,1.0,77,56,72.7,12,5,4,9,42.9,1,0,1,0,100.0,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,1,20,20,1800,20,23,1.15,81,58,72.8,13,2,5,7,35.0,2,1,0,1,0.0,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,2,20,20,1800,20,24,1.2,75,51,68.0,13,5,2,7,35.0,0,0,0,0,,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,3,21,21,1890,21,24,1.14,85,62,76.5,7,10,4,8,38.1,4,4,0,0,0.0,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,2,21,21,1887,21,31,1.48,92,60,70.7,3,8,10,3,14.3,5,4,1,0,20.0,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,2,21,21,1890,21,31,1.48,105,74,72.4,2,9,10,3,14.3,2,2,0,0,0.0,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,1,20,20,1800,20,28,1.4,93,64,73.1,6,8,6,7,35.0,4,3,1,0,25.0,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,1,21,21,1890,21,25,1.19,98,73,76.5,16,4,1,6,28.6,2,2,0,0,0.0,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,3,21,21,1890,21,42,2.0,107,67,63.6,2,5,14,1,4.8,4,3,0,1,0.0,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,1,21,21,1890,21,17,0.81,93,75,84.9,9,4,8,6,28.6,5,3,1,1,25.0,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,1,21,21,1890,21,25,1.19,81,56,74.1,3,11,7,6,28.6,4,4,0,0,0.0,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,2,20,20,1800,20,31,1.55,75,43,60.0,7,4,9,6,30.0,2,1,1,0,50.0,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,1,20,20,1800,20,26,1.3,88,63,71.6,5,8,7,8,40.0,2,1,1,0,50.0,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,2,20,20,1800,20,13,0.65,58,46,77.6,16,3,1,10,50.0,0,0,0,0,,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,2,21,21,1887,21,21,1.0,82,62,78.0,9,8,4,8,38.1,3,3,0,0,0.0,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,3,21,21,1890,21,35,1.67,94,61,66.0,3,7,11,3,14.3,3,3,0,0,0.0,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,1,21,21,1890,21,24,1.14,81,57,72.8,9,5,7,7,33.3,3,2,1,0,33.3,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,1,21,21,1890,21,42,2.0,127,85,70.1,5,5,11,2,9.5,4,4,0,0,0.0,/en/squads/2a8183b3/Villarreal-Stats
