league,season,team,players_used,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,url
ESP-La Liga,2324,Alavés,27,21,7958,6863,1057,274,19,66,454,448,96,22,35,1,5746,38,203,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,21,9054,7930,1082,305,20,65,392,413,101,41,38,0,6894,42,178,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,21,10194,9071,1077,298,36,57,478,473,113,43,50,0,7783,46,197,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,20,11167,10196,902,254,42,97,331,340,90,22,46,0,9228,69,199,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,20,12902,11862,982,311,69,101,363,378,128,43,48,1,11207,58,175,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,21,10036,8942,1055,339,29,80,360,385,124,44,50,2,8114,39,197,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,21,9157,8072,1053,308,32,58,420,413,118,37,55,0,6960,32,212,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,21,7306,6223,1035,316,18,81,410,396,82,42,25,0,5076,48,160,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,20,7799,6737,1029,315,12,116,413,414,80,41,23,1,5393,33,156,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,21,11932,10971,912,267,29,108,414,329,96,33,46,0,10207,49,170,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,21,9152,7968,1142,368,29,52,375,476,80,30,27,0,7049,42,199,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,21,12201,11139,1012,378,37,44,289,368,80,31,25,1,10098,50,199,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,21,8234,7135,1035,259,33,71,419,439,96,33,49,3,5933,64,171,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,20,9200,8128,1035,279,14,65,427,463,79,39,30,1,6822,37,194,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,20,8879,7759,1063,310,29,81,353,445,88,37,28,2,6703,57,183,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,20,13051,12047,956,288,60,116,365,354,125,40,50,0,11490,48,146,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,21,10266,9187,1031,302,24,68,331,475,94,49,29,0,8028,48,180,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,21,11005,9836,1117,306,11,138,662,497,128,42,59,0,8669,52,223,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,21,8802,7750,1018,308,23,61,300,456,65,12,23,1,6625,34,197,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,21,10601,9468,1077,324,46,87,329,403,99,43,35,0,8789,56,208,/en/squads/2a8183b3/Villarreal-Stats
