league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Alavés,Abdel Abqar,MAR,DF,24-327,1999,14,1254,90,63.3,13.9,14,90,12,0,,2,0.86,12,18,-6,-0.43,-0.55,15.1,16.3,-1.2,-0.09,-0.59
ESP-La Liga,2324,Alavés,Abderrahman Rebbach,ALG,"FW,MF",25-173,1998,16,582,36,29.4,6.5,6,64,0,10,20,6,0.69,5,5,0,0.0,0.32,6.1,5.6,0.5,0.08,-0.06
ESP-La Liga,2324,Alavés,Adrian Rodriguez,ESP,GK,23-050,2000,0,,,,,0,,0,0,,11,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,32-049,1991,11,946,86,47.8,10.5,11,86,8,0,,1,1.09,10,14,-4,-0.38,-0.29,14.8,12.0,2.9,0.27,0.28
ESP-La Liga,2324,Alavés,Alex Sola,ESP,"FW,MF",24-236,1999,17,666,39,33.6,7.4,7,69,1,10,19,2,1.29,4,12,-8,-1.08,-1.29,9.7,10.7,-0.9,-0.13,-0.39
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26-208,1997,21,1839,88,92.9,20.4,21,88,14,0,,0,1.24,22,24,-2,-0.1,1.82,26.5,23.5,3.0,0.15,0.26
ESP-La Liga,2324,Alavés,Ander Sánchez,ESP,MF,20-007,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Alavés,Andoni Gorosabel,ESP,DF,27-180,1996,22,1867,85,94.3,20.7,21,87,15,1,36,0,1.18,21,25,-4,-0.19,0.6,26.5,25.1,1.5,0.07,-1.0
ESP-La Liga,2324,Alavés,Antonio Blanco,ESP,MF,23-192,2000,20,1335,67,67.4,14.8,16,81,7,4,11,0,1.25,12,16,-4,-0.27,-0.13,17.7,16.6,1.2,0.08,-0.15
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,27-173,1996,22,1980,90,100.0,22.0,22,90,22,0,,0,1.18,22,27,-5,-0.23,,28.7,25.9,2.8,0.13,
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25-307,1998,16,524,33,26.5,5.8,4,76,1,12,18,3,1.31,10,9,1,0.17,0.54,8.1,8.8,-0.8,-0.13,-0.35
