league,season,team,players_used,Poss,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,url
ESP-La Liga,2324,Alavés,27,42.5,21,10204,1195,3391,4225,2715,430,10200,359,185,51.5,140,39.0,4972,28179,15277,340,224,88,296,169,5683,723,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,46.8,21,11368,1422,4152,5051,2286,362,11367,369,159,43.1,177,48.0,6238,33485,16812,316,226,67,288,144,6817,612,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,50.0,21,12515,1119,3608,5690,3362,540,12510,408,196,48.0,181,44.4,6781,36019,18673,424,301,120,317,213,7706,863,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,51.5,20,13327,1324,4223,6098,3108,508,13324,315,173,54.9,120,38.1,8090,39987,20854,391,301,97,274,157,9166,835,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,64.2,20,14990,1063,3623,7440,4058,594,14987,444,231,52.0,157,35.4,9145,52138,30445,570,423,143,341,162,11102,1029,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,49.1,21,12498,1333,4078,5509,3043,500,12498,477,221,46.3,211,44.2,7190,39744,19605,393,287,110,329,244,8054,790,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,44.4,21,11555,1220,3610,5050,3025,439,11552,362,176,48.6,150,41.4,6302,33044,16929,366,276,88,314,167,6895,700,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,40.7,21,9595,1300,3416,4108,2164,292,9593,251,104,41.4,115,45.8,4526,25188,12657,242,200,32,314,179,5021,460,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,44.0,20,9928,1068,2908,4471,2654,368,9923,280,113,40.4,135,48.2,4693,24313,12237,226,203,63,309,134,5333,590,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,56.8,21,14212,1556,4738,6180,3399,538,14209,403,179,44.4,161,40.0,8783,49145,25303,465,332,120,338,207,10107,897,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,46.9,21,11468,1349,4470,4948,2177,378,11464,434,201,46.3,198,45.6,6382,33894,16741,300,232,70,316,157,6982,559,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,57.4,21,14675,1565,5063,6950,2768,342,14671,368,178,48.4,154,41.8,8006,36770,18742,307,242,59,378,188,10009,826,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,44.1,21,10559,1252,3619,4604,2463,371,10556,282,132,46.8,118,41.8,5350,28937,14187,275,222,55,325,178,5868,573,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,48.7,20,11259,1097,3289,5044,3032,394,11255,290,128,44.1,128,44.1,5769,29527,14294,281,225,59,301,143,6741,710,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,48.0,20,11116,1231,3751,4980,2500,374,11111,359,148,41.2,168,46.8,5933,29762,13892,249,187,57,316,183,6638,684,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,60.1,20,15161,1253,3903,7165,4234,639,15158,474,214,45.1,209,44.1,10454,54751,29476,537,466,174,260,159,11403,1087,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,54.2,21,12576,1313,3927,6010,2756,387,12573,389,179,46.0,163,41.9,7076,38855,19736,380,258,99,340,200,7938,694,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,55.4,21,13379,1135,3861,5944,3710,459,13378,380,181,47.6,156,41.1,7357,38958,20093,377,290,85,366,166,8582,922,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,44.2,21,11085,1204,3882,4977,2358,295,11081,373,167,44.8,164,44.0,6089,31892,15920,296,235,68,324,191,6585,614,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,51.9,21,12893,1593,4471,5556,2979,443,12889,442,207,46.8,208,47.1,7093,38581,19076,335,290,96,315,204,8688,816,/en/squads/2a8183b3/Villarreal-Stats
