league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
ESP-La Liga,2324,Alavés,27,26.6,42.5,21,231,1890,21,16,13,29,14,2,4,47,1,26.9,23.7,18.0,41.7,340,727,0.76,0.62,1.38,0.67,1.29,1.28,0.85,2.14,1.13,1.99,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2324,Almería,28,25.8,46.8,21,231,1890,21,21,12,33,20,1,1,51,1,27.3,26.5,19.8,46.3,316,627,1.0,0.57,1.57,0.95,1.52,1.3,0.94,2.24,1.26,2.21,/en/squads/78ecf4bb/Almeria-Stats
ESP-La Liga,2324,Athletic Club,25,27.9,50.0,21,231,1890,21,37,25,62,34,3,5,47,2,36.7,32.7,24.8,57.6,424,871,1.76,1.19,2.95,1.62,2.81,1.75,1.18,2.93,1.56,2.74,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2324,Atlético Madrid,23,29.9,51.5,20,220,1800,20,40,28,68,37,3,3,47,3,34.2,32.0,27.3,59.3,391,843,2.0,1.4,3.4,1.85,3.25,1.71,1.37,3.08,1.6,2.97,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2324,Barcelona,27,26.7,64.2,20,220,1800,20,38,26,64,35,3,3,48,1,46.1,43.8,34.8,78.6,570,1038,1.9,1.3,3.2,1.75,3.05,2.31,1.74,4.04,2.19,3.93,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2324,Betis,32,28.4,49.1,21,231,1890,21,24,16,40,24,0,0,45,2,26.0,26.0,20.5,46.5,393,796,1.14,0.76,1.9,1.14,1.9,1.24,0.98,2.21,1.24,2.21,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2324,Celta Vigo,26,27.3,44.4,21,231,1890,21,20,12,32,19,1,3,39,5,27.7,25.5,18.9,44.4,366,711,0.95,0.57,1.52,0.9,1.48,1.32,0.9,2.22,1.21,2.11,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2324,Cádiz,30,29.4,40.7,21,231,1890,21,15,9,24,13,2,2,68,6,17.5,16.0,11.5,27.5,242,469,0.71,0.43,1.14,0.62,1.05,0.84,0.55,1.38,0.76,1.31,/en/squads/ee7c297c/Cadiz-Stats
ESP-La Liga,2324,Getafe,26,28.4,44.0,20,220,1800,20,26,18,44,21,5,5,84,9,23.0,19.1,13.2,32.3,226,602,1.3,0.9,2.2,1.05,1.95,1.15,0.66,1.81,0.95,1.61,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2324,Girona,23,26.6,56.8,21,231,1890,21,51,38,89,48,3,3,43,1,38.6,36.3,29.7,66.0,465,903,2.43,1.81,4.24,2.29,4.1,1.84,1.41,3.25,1.73,3.14,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2324,Granada,32,27.5,46.9,21,231,1890,21,20,17,37,17,3,4,55,2,23.8,20.6,17.9,38.5,300,568,0.95,0.81,1.76,0.81,1.62,1.13,0.85,1.98,0.98,1.83,/en/squads/a0435291/Granada-Stats
ESP-La Liga,2324,Las Palmas,26,26.2,57.4,21,231,1890,21,21,14,35,18,3,4,52,2,17.4,14.2,12.2,26.4,307,839,1.0,0.67,1.67,0.86,1.52,0.83,0.58,1.41,0.68,1.26,/en/squads/0049d422/Las-Palmas-Stats
ESP-La Liga,2324,Mallorca,21,29.0,44.1,21,231,1890,21,19,16,35,18,1,3,58,2,23.0,20.7,17.4,38.1,275,587,0.9,0.76,1.67,0.86,1.62,1.1,0.83,1.92,0.99,1.82,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2324,Osasuna,24,28.6,48.7,20,220,1800,20,25,14,39,21,4,4,46,3,22.8,19.7,14.9,34.6,281,718,1.25,0.7,1.95,1.05,1.75,1.14,0.75,1.89,0.99,1.73,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2324,Rayo Vallecano,24,30.1,48.0,20,220,1800,20,18,9,27,13,5,5,59,3,24.8,20.9,13.5,34.4,249,688,0.9,0.45,1.35,0.65,1.1,1.24,0.68,1.92,1.04,1.72,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2324,Real Madrid,23,28.0,60.1,20,220,1800,20,43,33,76,42,1,3,37,2,35.1,33.0,26.2,59.2,537,1094,2.15,1.65,3.8,2.1,3.75,1.76,1.31,3.06,1.65,2.96,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2324,Real Sociedad,28,26.3,54.2,21,231,1890,21,30,23,53,27,3,3,57,1,26.8,24.4,18.4,42.8,380,702,1.43,1.1,2.52,1.29,2.38,1.28,0.88,2.15,1.16,2.04,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2324,Sevilla,33,29.6,55.4,21,231,1890,21,24,15,39,23,1,1,61,3,22.5,21.7,16.1,37.7,377,936,1.14,0.71,1.86,1.1,1.81,1.07,0.77,1.84,1.03,1.8,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2324,Valencia,25,24.6,44.2,21,231,1890,21,27,19,46,23,4,4,44,4,23.0,19.9,15.4,35.3,296,611,1.29,0.9,2.19,1.1,2.0,1.1,0.73,1.83,0.95,1.68,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2324,Villarreal,28,28.3,51.9,21,231,1890,21,28,19,47,24,4,4,62,4,29.8,26.7,21.1,47.8,335,822,1.33,0.9,2.24,1.14,2.05,1.42,1.01,2.43,1.27,2.28,/en/squads/2a8183b3/Villarreal-Stats
